id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
792	determination coefficient	1.4702	-0.2956	2	255	568	27	2016.8519	23.963	5.0785
793	determine	0.4306	0.5363	3	69	78	10	2018.6	0	0
794	developed model	1.2418	-0.2463	2	444	1009	61	2016.7705	8.8197	2.1343
795	development prospect	-0.4902	-0.1343	1	72	87	14	2019.3571	0.0714	0.0539
796	development status	-0.3858	-0.2519	1	64	77	13	2017.0769	0.0769	0.0176
797	development trend	-0.311	-0.2876	1	184	267	45	2018.7778	0.6222	0.1225
798	deviation	0.9327	-0.0566	2	478	911	62	2016.0806	9.7742	1.5113
799	dfl	-0.4991	-0.8081	1	30	69	11	1989.5455	0.5455	0.0072
800	dga	0.8162	-0.5347	2	72	139	12	2012.5833	4.4167	0.4169
801	diabete	-0.118	0.9244	3	480	1211	76	2018.6842	6.9342	1.5952
802	diabetes	0.0263	0.8332	3	388	841	57	2018.8947	6.0175	1.6782
803	diabetes care	-0.4076	0.7385	3	75	105	11	2019.4545	5.7273	1.9625
804	diabetes mellitus	0.0771	0.9091	3	260	449	26	2018.7692	5.3077	1.2523
805	diabetic macular edema	-0.2702	1.1869	3	126	219	12	2019.6667	4.0833	1.0641
806	diabetic retinopathy	-0.2239	1.185	3	444	1487	95	2019.2947	8.6737	2.1649
807	diabetic retinopathy screening	-0.1691	1.095	3	137	250	20	2019.5	10.8	2.8984
808	diagnose	-0.2487	0.6516	3	163	244	22	2018.6364	15.0455	3.4372
809	diagnosing	-0.0578	0.4459	3	146	195	16	2015.75	2.625	0.5018
810	diagnosis	-0.1235	0.716	3	1991	15141	1185	2016.1198	7.3063	1.8596
811	diagnosis system	0.2667	0.6374	3	279	500	50	2012.26	6.98	1.0455
812	diagnostic ability	0.0363	1.4051	3	173	331	18	2019.6111	19.6111	4.9001
813	diagnostic accuracy	-0.0724	1.1446	3	738	2478	135	2019.2296	11.3852	4.9603
814	diagnostic error	-0.0432	0.8129	3	160	217	13	2018.5385	5.8462	1.2578
815	diagnostic imaging	-0.3993	0.934	3	260	432	31	2018.4839	9.6774	2.1842
816	diagnostic model	-0.0505	0.5799	3	163	245	17	2015.1765	3.1765	0.7247
817	diagnostic performance	0.0099	1.2579	3	576	1627	81	2019.1235	12.0741	6.6797
818	diagnostic process	-0.243	0.5972	3	190	279	20	2013.4	10.3	1.3525
819	diagnostic study	0.0382	1.3287	3	217	361	18	2019.2222	9.5	3.1736
820	diagnostic system	0.1821	0.4945	3	364	677	56	2009.7679	10.3214	1.8677
821	diagnostic test	0.0573	0.877	3	200	278	16	2017.625	8.125	1.7987
822	diagnostic tool	0.0206	1.0756	3	360	681	46	2017.8478	6.1957	2.3456
823	dialogue	-0.6435	-0.395	1	285	442	51	2009.5686	13.9412	1.4934
824	dialysis	0.3635	0.6796	3	108	147	11	2014.5455	8.4545	1.2959
825	diameter	0.9436	0.2208	2	457	942	58	2017.6552	9.1034	1.6567
826	dictionary	-0.0852	0.1357	1	158	246	24	2005.75	7.5417	0.6378
827	differential diagnosis	-0.2019	0.918	3	251	433	36	2016.2778	9.5833	1.5587
828	differential equation	0.518	-0.6127	2	120	175	19	2006.2105	5.8421	0.6372
829	differential evolution	1.1036	-0.4938	2	154	211	15	2017.0667	11.8	1.5933
830	differentiation	0.0197	0.5752	3	386	634	44	2017.2273	4.8636	1.3503
831	digital	-0.5203	-0.1753	1	65	81	14	2017.1429	5.6429	1.1123
832	digital age	-0.669	-0.4371	1	139	179	22	2018.5455	4.5	0.9007
833	digital computer	-0.4765	-0.4626	1	134	182	17	1992	4.5294	0.4856
834	digital economy	-0.7395	-0.3509	1	158	224	28	2019.2857	0.9286	0.2093
835	digital era	-0.5516	-0.0969	1	109	137	14	2019.5714	11.1429	3.264
836	digital health	-0.5191	0.4344	3	150	200	19	2019.2632	4.5789	1.2435
837	digital image	0.2032	0.9634	3	292	497	33	2017.3333	13.9394	2.7729
838	digital marketing	-0.6318	-0.3147	1	62	99	14	2019.5	0.5	0.1894
839	digital pathology	-0.3164	1.01	3	210	401	35	2019.7143	11.8857	3.2033
840	digital revolution	-0.6308	0.0104	1	142	186	18	2019	3.1111	0.7381
841	digital technology	-0.4933	-0.1386	1	434	685	72	2019.1667	3.125	0.925
842	digital tool	-0.6824	0.2084	1	162	196	15	2018.8	1.7333	0.7804
843	digital transformation	-0.6613	-0.1443	1	228	331	47	2019.4043	1.7872	0.7215
844	digitalisation	-0.7128	-0.1574	1	46	57	10	2019.7	0.5	0.2651
845	digitalization	-0.6741	-0.1432	1	318	476	52	2019.1538	1.6731	0.4319
846	dilemma	-0.618	-0.3089	1	286	416	45	2016.1111	3.0222	1.365
847	dimensionality	0.2885	0.097	2	286	447	37	2016.4865	8.1892	1.2749
848	director	-0.6312	-0.3514	1	190	251	24	2011.8333	5.7917	0.7571
849	disabled person	-0.0637	-0.2919	1	68	78	10	2016.6	3.5	0.586
850	disagreement	-0.5417	-0.0412	1	180	242	21	2010.2381	14.1429	1.3467
851	discharge	0.9952	-0.0158	2	295	579	43	2015.1395	25.2791	2.7546
852	discipline	-0.3948	-0.3485	1	980	2403	296	2010.4088	11.8649	2.4127
853	discourse	-0.7253	-0.3944	1	372	670	83	2013.9157	5.1205	0.9153
854	discrete wavelet	0.6752	-0.4163	2	112	149	13	2015.1538	6.6923	0.7685
855	discretion	-0.4847	0.3365	3	123	147	16	2015	4.0625	0.8163
856	disease	-0.1102	0.7352	3	1729	10044	724	2018.2058	7.1008	2.1141
857	disease detection	-0.0322	0.7177	3	279	464	29	2019.1379	9.5862	2.4733
858	disease diagnosis	-0.1429	0.6092	3	352	593	39	2018.0769	13.5641	5.2849
859	disease progression	-0.0849	1.0675	3	268	428	24	2018.2917	3.0833	1.4022
860	disease severity	0.1717	1.2558	3	206	304	16	2019.1875	8.5625	2.4248
861	disorder	-0.1639	0.5611	3	786	1979	168	2017.1131	4.4405	1.0417
862	disruption	-0.5817	-0.1559	1	421	694	67	2018.9851	11.3582	2.6187
863	disruptive technology	-0.7419	-0.0397	1	204	283	28	2018.8929	6.2857	1.7554
864	dissertation	-0.386	-0.6364	1	123	163	19	2002.7895	3.0526	0.2464
865	distinction	-0.4789	-0.4049	1	346	517	50	2008.3	6.94	1.0454
866	distortion	0.0361	-0.3921	1	250	393	32	2015.3438	3.125	1.0603
867	distributed artificial intelligence	-0.1783	-0.6173	1	172	275	78	2000.9231	8.359	0.8205
868	distribution network	0.6895	-0.624	2	99	145	21	2011.7619	9.9048	0.9621
869	distribution system	0.5944	-0.6506	2	178	313	32	2012.2812	10.9062	1.2412
870	disturbance	0.6687	-0.4228	2	277	490	45	2011.8444	8.3111	1.0597
871	divide	-0.6478	-0.3955	1	188	245	25	2014.72	9.36	1.3868
872	dl algorithm	0.211	0.8181	3	149	193	12	2019.75	2.9167	2.2014
873	dnn	0.5962	-0.0477	2	193	272	23	2019.4783	4.0435	1.3164
874	dose	0.4404	0.6808	3	464	963	65	2017.6154	9.2	2.2204
875	doubt	-0.5615	-0.0764	1	319	450	43	2014.2326	3.1628	0.8047
876	dr screening	-0.1679	1.2473	3	157	355	19	2019.6842	4.3158	2.0671
877	dream	-0.6213	-0.4479	1	203	291	36	2012.3611	3.6667	0.4832
878	drilling	1.0328	-0.4102	2	212	430	33	2015.6667	6.6364	1.2354
879	drilling operation	1.3942	-0.4035	2	158	310	15	2017.4667	6.8667	1.2253
880	drive	0.4222	-0.5058	2	248	411	43	2013.3953	6.3023	0.8664
881	driverless car	-0.7522	-0.4666	1	92	127	14	2018.6429	8.2857	1.2994
882	drop	0.6773	-0.1124	2	259	372	31	2016.1613	5.4194	1.1131
883	drought	0.9813	-0.2594	2	158	253	16	2017.625	7.8125	2.5391
884	drug	-0.0343	0.515	3	571	1490	132	2018.2879	4.2652	1.3593
885	drug administration	-0.4264	0.6222	3	284	457	30	2018.5	6.9667	1.9322
886	drug design	0.2949	0.2555	4	167	335	39	2013.4872	12.8205	3.5503
887	drug development	-0.2414	0.5348	3	302	527	47	2019.4681	4.5745	2.0561
888	drug discovery	-0.0042	0.3421	4	329	695	93	2018.6129	10.2473	2.7257
889	drug repurposing	0.0091	0.7528	3	136	217	17	2019.8824	6.6471	3.0482
890	dtc	0.8578	-0.7743	2	57	107	11	2012.1818	9.0909	0.7209
891	duration	0.4292	0.2943	3	603	1093	73	2016.6027	9.6575	1.4335
892	duty	-0.5451	-0.3197	1	318	473	35	2016.2857	3.2857	0.6636
893	dynamic environment	0.0085	-0.5696	1	93	122	17	2012.7647	6.7059	0.8063
894	dynamic nature	-0.0663	-0.4723	1	65	72	10	2010.8	6.3	0.6892
895	dynamic response	0.6843	-0.675	2	91	118	13	2017.3077	3.6923	0.7015
896	dynamic system	0.1447	-0.5724	1	127	188	27	2004.4074	4.7407	0.5731
897	e commerce	-0.4485	-0.3486	1	169	227	27	2018.2963	1.4444	0.3445
898	e learning	-0.598	-0.4974	1	74	112	19	2017.2632	4.9474	0.6882
899	early day	-0.4084	-0.3139	1	125	150	18	2005.5556	5.2778	0.6215
900	early detection	-0.0892	0.9201	3	564	1200	79	2018.9241	9.7089	1.9563
901	early diagnosis	-0.0374	1.0649	3	414	890	54	2019.3148	3.2037	0.891
902	early gastric cancer	-0.0754	1.5581	3	95	175	12	2019.5	4.4167	1.5234
903	early identification	0.1676	1.2877	3	143	196	12	2019.4167	6	2.6903
904	early prediction	0.1302	0.4914	3	155	203	12	2018.6667	4.1667	0.793
905	easy task	0.3932	-0.1828	2	99	117	11	2017.2727	2.3636	0.7919
906	ecg	0.2096	1.0468	3	320	744	52	2019.3077	6.9615	2.0349
907	ecg signal	0.4319	0.7542	3	146	212	13	2019.2308	2.9231	1.7301
908	echocardiography	-0.1537	1.023	3	211	396	36	2019.0556	4.1944	1.0622
909	ecology	-0.3431	-0.3137	1	220	275	29	2015.3448	8.2759	1.5445
910	economic activity	-0.436	-0.2588	1	115	147	17	2017.2353	23.7647	5.2635
911	economic development	-0.3936	-0.4059	1	233	336	37	2017.8919	2.4324	0.497
912	economic growth	-0.2924	-0.3092	1	274	426	44	2017.5455	5.0455	1.0513
913	economics	-0.5595	-0.4572	1	163	243	39	2010	5.2308	0.609
914	economy	-0.3548	-0.3217	1	975	2251	241	2018.0705	5.7593	1.4317
915	edge computing	-0.101	-0.3523	1	197	326	44	2019.5227	9.0909	2.6513
916	edge technology	-0.3488	-0.0301	1	164	190	20	2017.35	13.8	2.1783
917	edited	-0.4566	-0.6954	1	79	178	39	1992.359	2.3333	0.2929
918	editor	-0.411	-0.3519	1	296	470	52	2007.75	5.3269	1.3796
919	editorial	-0.4528	-0.1863	1	274	449	100	2014.15	2.7	0.4659
920	eds	-0.143	-0.4927	1	131	199	31	1997.0323	7.9032	0.953
921	education	-0.5932	-0.2363	1	1330	4555	650	2015.4246	3.1754	0.6628
922	education system	-0.5214	-0.3764	1	148	227	27	2017.5185	0.963	0.2929
923	educational institution	-0.6929	-0.3954	1	119	162	17	2019	2.3529	0.5893
924	educational process	-0.628	-0.3933	1	67	93	12	2019.0833	0.5833	0.3525
925	educational system	-0.6389	-0.4701	1	129	204	26	2016.1154	4.7692	0.8353
926	educational technology	-0.7454	-0.4241	1	93	154	24	2015.2083	5.0417	0.9111
927	educator	-0.6709	-0.3158	1	159	267	33	2017.2424	4.9394	1.1157
928	eeg	0.1081	0.194	3	249	398	31	2015.2258	6.6129	1.3279
929	effective method	0.5849	-0.1715	2	230	317	22	2016.6364	8.8636	1.2556
930	effective parameter	1.3494	-0.3215	2	141	204	10	2015.6	17.1	2.114
931	effective technique	0.7524	-0.1713	2	135	167	12	2015.9167	6.9167	1.6111
932	effective treatment	0.149	1.0123	3	133	174	11	2019.1818	15.7273	3.6961
933	efficient tool	0.6674	-0.2101	2	142	172	14	2016.3571	12.8571	2.3224
934	efficient use	0.4892	0.0193	2	150	180	16	2014.6875	7.1875	1.8123
935	ehr	-0.4047	0.6541	3	321	513	35	2019.0286	10.9714	2.5112
936	elaboration	-0.3863	-0.4504	1	92	112	17	2012.4706	2.1765	0.2566
937	elderly person	0.1987	0.2024	3	105	130	11	2019	1.3636	0.7521
938	electric power system	0.6248	-0.6585	2	85	119	14	2010.1429	11.6429	1.0189
939	electric vehicle	0.566	-0.6018	2	137	207	25	2017.4	6.44	1.0858
940	electrical energy	0.8225	-0.635	2	144	220	18	2015.6667	9.1111	1.3146
941	electrical engineering	-0.2715	-0.6308	1	72	96	13	2010.3077	638.0769	14.215
942	electricity	0.1656	-0.5262	2	307	460	42	2017.0476	10.0952	2.0036
943	electricity consumption	0.7006	-0.4967	2	115	155	14	2017.1429	10.2143	0.9591
944	electrocardiogram	0.1623	0.7874	3	308	612	52	2016.5	6	1.5043
945	electrocardiography	0.2209	1.3001	3	141	256	18	2019.8333	1.8889	1.1144
946	electrode	0.7078	-0.1519	2	147	198	16	2015.875	4.1875	0.8507
947	electroencephalogram	0.1486	0.1752	3	163	233	18	2014.4444	7.9444	1.4528
948	electroencephalography	-0.1505	0.4594	3	113	182	15	2017.4	7.9333	1.264
949	electron microscopy	1.2963	-0.1749	2	125	219	13	2018.3846	9	1.8187
950	electronic commerce	-0.4897	-0.3688	1	64	78	10	2013.2	1	0.1708
951	electronic health record	-0.3642	0.628	3	554	1119	80	2019.175	9.125	2.3789
952	electronic medical record	-0.3379	0.5298	3	359	563	37	2018.6757	11.1622	2.1691
953	elevation	0.8885	0.1004	2	188	283	16	2015.9375	14.5625	3.6006
954	elm	1.2202	-0.1894	2	269	487	25	2019.08	8.12	3.1659
955	elucidation	-0.1322	-0.2311	1	76	101	15	1995.5333	15.4667	1.5902
956	email	-0.6565	-0.2759	1	123	153	15	2014.0667	6.3333	0.8523
957	embase	-0.2876	1.1301	3	399	991	43	2020.0233	4.4186	3.8974
958	embedded artificial intelligence	0.0936	-0.422	2	33	41	12	2018.4167	1.5	0.5213
959	embodied artificial intelligence	-0.7413	-0.3249	1	85	117	15	2011.8667	18.4667	1.5337
960	embodiment	-0.5454	-0.5106	1	190	287	37	2010.4595	9.2703	0.9793
961	embryo	0.3409	0.6423	3	193	331	25	2018.76	6.36	1.6323
962	embryo selection	0.2301	0.767	3	65	89	10	2018.5	9.5	2.4752
963	emergency department	-0.0286	1.075	3	253	453	26	2019.6923	1.4231	0.6815
964	emergency medicine	-0.2169	0.4238	3	51	69	11	2017.3636	3.2727	0.5542
965	emission	0.5978	-0.3573	2	478	929	78	2016.141	13.141	2.059
966	emotion	-0.518	-0.3429	1	568	1116	126	2015.619	5.5079	0.7992
967	emotional intelligence	-0.4425	-0.3432	1	182	234	33	2017.1818	4.4242	1.3634
968	empathy	-0.8065	-0.1348	1	162	252	27	2018.6667	3.1852	0.672
969	empirical analysis	-0.3037	-0.3528	1	104	126	16	2017	10.0625	1.6821
970	empirical correlation	1.4699	-0.294	2	204	505	24	2017.625	8.0417	1.8137
971	empirical equation	1.4992	-0.3657	2	159	293	14	2017.8571	15.0714	2.5487
972	empirical evidence	-0.5848	-0.1026	1	150	200	27	2018.1111	5.963	1.8884
973	empirical method	0.6648	-0.3499	2	100	151	16	2003.0625	12.5	4.5134
974	empirical model	1.3296	-0.2675	2	244	452	26	2018.9231	10.7692	2.5296
975	empirical research	-0.405	-0.1822	1	156	202	24	2012.5417	8.2917	2.1721
976	empirical result	0.5149	-0.4188	2	136	183	19	2013.4211	8.6316	1.9691
977	employer	-0.6511	-0.2888	1	191	262	19	2019.2632	2.5263	0.699
978	employment	-0.5986	-0.2815	1	489	899	97	2017.4742	5.9175	1.2507
979	emr	-0.0461	0.8304	3	194	302	16	2018.75	4.3125	1.1894
980	emulation	-0.5466	-0.6114	1	100	146	15	2012.5333	3.3333	0.3374
981	enabler	-0.5132	-0.3116	1	165	231	27	2018.963	11.5185	2.0201
982	endeavor	-0.3897	-0.3295	1	250	324	44	2009.5909	8.1136	1.2556
983	endoscopic diagnosis	-0.3245	1.1582	3	117	209	15	2019.8667	2	0.562
984	endoscopic image	-0.1474	1.399	3	220	516	26	2019.6538	14.4231	3.955
985	endoscopist	-0.2299	1.3948	3	323	998	61	2019.7541	10.4098	3.2199
986	endoscopy	-0.3535	1.1932	3	324	846	71	2019.493	4.6338	1.9325
987	endpoint	0.0548	0.9123	3	355	579	34	2018.4412	4.8529	1.4844
988	energy	0.4733	-0.4622	2	1001	2716	254	2016.2205	9.5906	1.5477
989	energy consumption	0.4999	-0.4508	2	477	937	89	2017.1798	7.0337	1.4063
990	energy demand	0.6755	-0.5998	2	118	176	15	2017.5333	5	1.1338
991	energy efficiency	0.3978	-0.52	2	355	627	65	2017.4	7.7385	1.316
992	energy management	0.5212	-0.6155	2	185	330	30	2016.8333	21.6	2.863
993	energy management system	0.4108	-0.4521	2	112	152	17	2012.3529	11.8824	1.2636
994	energy resource	0.5776	-0.6011	2	122	171	14	2017.7143	8.1429	0.9625
995	energy saving	0.5215	-0.5144	2	147	231	23	2017.6522	2.3043	0.5073
996	energy source	0.6607	-0.5964	2	177	283	26	2017.1923	13.4231	1.5703
997	energy system	0.586	-0.5369	2	223	328	30	2017.7667	7.5	2.0285
998	engineering application	0.3474	-0.4379	2	244	369	36	2012.1944	13.6389	2.2491
999	engineering design	-0.1119	-0.5713	1	88	119	27	1998.8519	14.9259	1.6192
1000	engineering education	-0.4325	-0.513	1	57	85	16	2012.3125	4.4375	0.7202
1001	engineering problem	0.061	-0.5774	1	176	245	33	2007.5152	10.1212	1.2079
1002	engineering system	0.128	-0.4877	1	87	122	20	2006.2	7.9	0.6309
1003	english language	-0.7012	0.2329	1	57	83	13	2018	0.7692	0.1787
1004	ensemble	0.5215	0.1602	2	493	919	59	2018.1864	14.2373	5.7942
1005	ensemble method	1.0657	0.1416	2	187	282	15	2019	7.6667	3.9549
1006	ensemble model	1.022	0.0522	2	256	435	25	2017.64	19.52	3.5343
1007	enterprise	-0.3797	-0.364	1	530	940	134	2016.4328	2.3358	0.4829
1008	entertainment	-0.5081	-0.3357	1	213	314	36	2014.7778	3.25	0.5271
1009	enthusiasm	-0.5478	-0.1927	1	246	317	29	2015.4483	6.8621	1.0729
1010	entrepreneur	-0.6246	-0.2065	1	108	144	19	2016.6842	8.7368	1.4132
1011	entrepreneurship	-0.6759	-0.3311	1	84	109	18	2019.6667	0.7778	0.4623
1012	entropy	0.389	0.1139	2	289	454	38	2015.5789	5.2632	1.0453
1013	environmental condition	0.7247	-0.3376	2	216	308	27	2015.037	7.7407	0.9491
1014	environmental impact	0.4315	-0.436	2	161	228	19	2016.4737	14.3684	2.5436
1015	environmental pollution	0.5045	-0.4606	2	127	154	14	2015.5	7.2143	1.071
1016	epidemic	-0.239	0.4267	3	177	243	18	2019.0556	4.2778	2.8882
1017	epidemiology	-0.1495	0.4676	3	184	248	18	2016.8333	6.0556	1.9798
1018	epilepsy	-0.0523	0.7206	3	141	236	17	2017.9412	7.8824	1.2513
1019	episode	-0.2668	0.4255	3	236	329	24	2017	6.625	0.9578
1020	epistemology	-0.748	-0.5514	1	126	179	26	2005.6538	4.2308	0.4735
1021	epoch	0.5079	0.2448	2	173	230	18	2015.1111	4.5	0.5962
1022	equation	0.8247	-0.3156	2	754	2089	167	2013.1976	10.5629	1.3842
1023	equity	-0.5589	-0.0879	1	206	257	19	2018.7368	5.6316	1.2759
1024	erratum	-0.2129	0.1277	4	37	52	16	2012.8125	3	0.1778
1025	esophageal cancer	-0.0936	1.5408	3	110	190	12	2019.6667	8.75	2.2879
1026	esophagus	-0.1833	1.5469	3	143	261	17	2019.7647	6.0588	2.2506
1027	essay	-0.7009	-0.4325	1	356	602	76	2008.6447	3.6316	0.5661
1028	essence	-0.4155	-0.4449	1	265	371	44	2014.2045	6.3182	0.9037
1029	essential	-0.1717	-0.4154	1	54	64	10	1996.2	16.1	1.0761
1030	estimation	0.8885	-0.2106	2	1221	4648	386	2016.2694	8.7021	1.4413
1031	ethic	-0.7963	-0.2226	1	719	1854	195	2017.9333	5.2872	1.432
1032	ethical	-0.9655	-0.085	1	85	120	12	2018.9167	5.6667	2.8385
1033	ethical aspect	-0.8151	-0.1737	1	110	134	20	2018.95	1.2	0.4988
1034	ethical challenge	-0.8413	-0.0854	1	189	301	34	2018.6765	9.7059	2.0602
1035	ethical concern	-0.8239	-0.0046	1	162	220	24	2018.7917	6.2083	2.0034
1036	ethical consideration	-0.8007	-0.0509	1	220	321	29	2016.6897	6.6897	1.7279
1037	ethical framework	-0.9199	-0.0628	1	142	197	17	2019.4118	7	1.8802
1038	ethical implication	-0.7801	-0.1229	1	234	344	29	2018.0345	5.1379	1.2474
1039	ethical issue	-0.7868	0.0056	1	435	794	79	2017.0759	8.9114	1.8681
1040	ethical principle	-0.832	-0.2307	1	207	354	35	2019.1714	6.2286	1.9845
1041	ethical question	-0.8221	-0.1997	1	158	215	17	2016.5294	8.6471	1.3907
1042	ethical use	-0.8252	-0.0024	1	115	145	10	2018.6	12.9	2.7933
1043	ethics	-0.819	-0.2581	1	347	668	112	2018.5714	4.375	0.7793
1044	etiology	0.0867	0.9298	3	180	304	19	2018.3158	1.5789	0.7035
1045	europe	-0.5028	-0.1395	1	499	839	75	2014.9067	13.8933	2.321
1046	european commission	-0.5904	-0.2685	1	154	193	17	2019.0588	2.4118	1.0538
1047	european union	-0.6218	-0.1911	1	265	384	36	2018.3333	4.4444	0.8302
1048	evaluation criterium	0.5368	0.0792	2	200	278	18	2014.3333	33.2778	3.584
1049	evaluation function	0.2795	-0.5011	2	145	188	18	2002.7222	12.3889	1.1462
1050	evaluation result	0.6173	-0.4039	2	145	177	17	2017.5882	10.2353	2.7706
1051	everyday life	-0.5747	-0.2216	1	413	612	55	2018.3091	5.5818	0.9718
1052	everyone	-0.6198	-0.2494	1	198	269	27	2014.5185	7.9259	2.1216
1053	everything	-0.4592	-0.3217	1	360	516	58	2012.7414	4.1034	0.7289
1054	evolutionary algorithm	0.391	-0.5039	2	315	465	45	2013.3111	14.8667	1.9525
1055	evolutionary algorithms	0.0889	-0.4005	1	133	160	10	2012.6	16.1	1.3284
1056	evolutionary computation	0.2517	-0.5563	2	221	302	27	2012.2222	14.4074	1.2569
1057	evolutionary computing	-0.166	-0.4976	1	91	101	11	2010.4545	5.5455	0.7365
1058	exam	-0.4151	0.5282	3	216	321	27	2017.4074	8.1852	1.603
1059	examination	-0.2423	0.4589	3	1068	2756	205	2016.1122	6.8146	1.824
1060	excellent performance	0.4957	0.2367	2	296	413	27	2017.1852	6.963	1.6713
1061	excitement	-0.6992	0.1609	1	161	223	23	2014.913	11.1739	2.233
1062	exclusion criterium	-0.3819	0.8221	3	329	579	29	2019.7241	6.931	2.3915
1063	execution time	0.6601	-0.1629	2	155	189	16	2013.4375	24.3125	2.2001
1064	existential risk	-0.8533	-0.3503	1	77	95	11	2018.6364	13.0909	2.1432
1065	experienced radiologist	0.1314	1.386	3	140	194	10	2019.9	3.7	1.0555
1066	experiment result	0.4638	-0.2903	2	131	174	16	2017.875	0.6875	0.1435
1067	experimental data	1.1129	-0.2256	2	646	1942	135	2014.6963	9.237	1.335
1068	experimental design	0.6018	-0.3004	2	223	325	24	2014.9583	12.5	2.2447
1069	experimental investigation	0.9203	-0.3803	2	153	219	17	2015.8824	6.6471	1.4841
1070	experimental measurement	1.4744	-0.2903	2	149	229	14	2014.9286	12.5714	1.9338
1071	experimental result	0.5152	-0.1881	2	946	2328	237	2015.9705	6.1519	1.0064
1072	experimental study	0.7295	0.0617	2	285	457	35	2016.2286	4.8857	0.7818
1073	experimental value	1.3031	-0.3686	2	134	213	14	2014.0714	15.9286	1.8224
1074	expert endoscopist	-0.1396	1.5501	3	99	166	11	2019.6364	8.0909	4.0011
1075	expert opinion	-0.4573	0.2646	1	147	177	15	2018.0667	17.3333	3.4731
1076	expert system shell	-0.0164	-0.551	1	68	90	15	1993.7333	6.6	0.6711
1077	expert system technology	-0.0473	-0.5453	1	24	33	12	1993.9167	5.1667	0.4129
1078	expert systems	-0.2103	-0.3585	1	211	300	51	1995.902	11.5098	0.9564
1079	explainable ai	-0.5582	0.1995	1	161	215	17	2019.5294	45.2353	17.0126
1080	exploratory factor analysis	-0.5551	0.3401	3	101	130	10	2019.8	4.5	1.8699
1081	explosive growth	-0.2873	-0.3372	1	80	95	12	2018.3333	5.1667	1.7626
1082	exponential growth	-0.5195	0.188	1	176	216	19	2018.2105	10.1053	2.1809
1083	export	0.3133	-0.3728	2	102	123	13	2017.6154	1.4615	0.2505
1084	extensive attention	-0.14	-0.0625	1	87	106	11	2019.3636	3.6364	0.9072
1085	extensive simulation	0.4068	-0.5936	2	66	95	13	2014.7692	6.7692	1.0017
1086	extensive use	-0.1321	-0.3425	1	61	68	12	2009.75	8	1.1257
1087	external factor	0.0162	-0.3664	1	67	82	10	2018	6.4	1.8237
1088	external validation	0.1914	1.2372	3	423	877	46	2019.8696	5.413	2.186
1089	external world	-0.4251	-0.7083	1	52	63	10	2000.1	8	0.6927
1090	extreme gradient	0.5338	0.763	3	202	300	13	2020	0.6154	0.7702
1091	extreme learning machine	1.1814	-0.1541	2	274	467	25	2018.44	8.92	3.1528
1092	eye	-0.2027	0.5414	3	724	1748	125	2016.992	8.72	1.5843
1093	eye disease	-0.3958	1.2589	3	92	161	13	2019.3846	13.9231	3.1537
1094	f measure	0.3935	0.5295	3	177	271	15	2018.5333	2.9333	1.1568
1095	f1 score	0.3962	0.8839	3	346	627	34	2019.3235	6.7059	2.0686
1096	fabrication	0.3446	-0.5184	2	144	182	19	2013.2632	5.5263	0.6673
1097	facebook	-0.6338	-0.1522	1	169	257	27	2018.1852	3.4074	0.5307
1098	facial expression	-0.3606	-0.2697	1	122	168	18	2015.8889	9.6667	0.7892
1099	facilitator	-0.7111	-0.1227	1	78	99	11	2016.5455	2.9091	0.3151
1100	factory	-0.0802	-0.5445	1	203	299	45	2006.4667	3.5778	0.4479
1101	faculty	-0.489	-0.1942	1	342	516	52	2007.5192	6.9808	0.8366
1102	fairness	-0.7861	-0.2932	1	306	502	47	2018.5532	11.5745	5.9675
1103	fake news	-0.5652	-0.0625	1	110	153	19	2019.4211	1.8947	0.9335
1104	false negative	0.137	0.9793	3	130	192	11	2018.3636	6.3636	4.808
1105	false positive	0.1424	0.9345	3	263	410	26	2018.9231	4.9231	1.3962
1106	false positive rate	-0.073	0.6614	3	263	395	23	2017.7391	8.4348	2.0236
1107	farm	0.403	-0.1184	2	177	285	27	2017.4444	7.1852	2.0527
1108	farmer	0.1702	-0.0693	2	170	315	33	2018.7273	4.7576	1.76
1109	fast development	-0.2081	-0.2768	1	60	76	10	2017.8	9.9	1.8173
1110	fate	-0.2329	-0.4447	1	108	133	13	2016.2308	3.0769	0.6627
1111	father	-0.4153	-0.4223	1	118	154	14	2014.7857	2.4286	0.3759
1112	fault	0.594	-0.5068	2	558	1493	168	2012.0238	8.75	1.0928
1113	fault detection	0.4882	-0.5721	2	245	463	55	2012.8	13.8909	1.4409
1114	fault diagnosis	0.5315	-0.569	2	231	502	74	2009.2973	12.3514	1.6037
1115	fault tolerance	0.2228	-0.4428	2	79	92	13	2015	4.3077	1.0607
1116	favour	-0.4398	-0.3236	1	143	169	16	2014.1875	10	2.3131
1117	fcm	0.6423	-0.3252	2	133	195	20	2013.15	22	1.7673
1118	fda	-0.4008	0.542	3	281	438	32	2019.6562	3.5312	2.3247
1119	fear	-0.7462	-0.1764	1	388	625	59	2016.3729	7.8814	1.2463
1120	feasible solution	0.2119	-0.4998	2	106	130	12	2009.5	8.75	1.1895
1121	feature extraction	0.4434	0.2542	2	430	871	73	2014.5205	6.0959	0.9104
1122	feature selection	0.5768	0.3074	2	526	1029	61	2017.4918	11	1.7451
